#,Time,Gender,Name,Nationality,Date,Meet,Location,Stroke,Age 
1,23.86,Male,Jonty Skinner, South Africa,1976,AAU Nationals,"Philadelphia, PA, United States",Freestyle,22
2,23.74,Male,Joe Bottom, United States,1977,Canada Cup,"Etobicoke, Canada",Freestyle,22
3,23.72,Male,Ron Manganiello, United States,1978,-,"Miami, FL, United States",Freestyle,
4,23.7,Male,Klaus Steinbach, West Germany,1979,-,"Freiburg, West Germany",Freestyle,26
5,23.66,Male,Chris Cavanaugh, United States,1980,International Invitational,"Amersfoort, Netherlands",Freestyle,18
6,23.12,Male,Chris Cavanaugh, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,18
7,22.96,Male,Rowdy Gaines, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,21
8,22.83,Male,Bruce Stahl, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,
8,22.83,Male,Joe Bottom, United States,1980,Hawaiian Invitational,"Honolulu, HI, United States",Freestyle,25
9,22.71,Male,Joe Bottom, United States,1980,Hawaiian Invitational,"Honolulu, HI, United States",Freestyle,25
10,22.54,Male,Robin Leamy, United States,1981,USA Nationals,"Brown Deer, WI, United States",Freestyle,20
11,22.52,Male,Dano Halsall,  Switzerland,1985,SUI Nationals,"Bellinzona, Switzerland",Freestyle,22
12,22.4,Male,Tom Jager, United States,1985,USS Invitational,"Austin, TX, United States",Freestyle,21
13,22.33,Male,Matt Biondi, United States,1986,USA World Championship Trials,"Orlando, FL, United States",Freestyle,21
13,22.33,Male,Matt Biondi, United States,1987,USA Nationals & Pan Pacific Trials,"Clovis, CA, United States",Freestyle,22
14,22.32,Male,Tom Jager, United States,1987,Pan Pacific Championships,"Brisbane, Australia",Freestyle,23
15,22.23,Male,Tom Jager, United States,1988,USA Spring Nationals,"Orlando, FL, United States",Freestyle,24
INV,22.18,Male,Peter Williams, South Africa,1988,CSCA Invitational,"Indianapolis, IN, United States",Freestyle,20
16,22.14,Male,Matt Biondi, United States,1988,Olympic Games,"Seoul, South Korea",Freestyle,23
17,22.12,Male,Tom Jager, United States,1989,Pan Pacific Championships,"Tokyo, Japan",Freestyle,25
18,21.98,Male,Tom Jager, United States,1990,US Sprint,"Nashville, TN, United States",Freestyle,26
19,21.81,Male,Tom Jager, United States,1990,US Sprint,"Nashville, TN, United States",Freestyle,26
20,21.64,Male,Alexander Popov, Russia,2000,Russian Olympic Trials,"Moscow, Russia",Freestyle,29
21,21.56,Male,Eamon Sullivan, Australia,2008,New South Wales State Championships,"Sydney, Australia",Freestyle,23
22,21.5,Male,Alain Bernard, France,2008,European Championships,"Eindhoven, Netherlands",Freestyle,25
23,21.41,Male,Eamon Sullivan, Australia,2008,Australian Championships & Olympic Trials,"Sydney, Australia",Freestyle,23
24,21.28,Male,Eamon Sullivan, Australia,2008,Australian Championships & Olympic Trials,"Sydney, Australia",Freestyle,23
25,20.94,Male,Frédérick Bousquet, France,2009,French Championships,"Montpellier, France",Freestyle,28
26,20.91,Male,César Cielo, Brazil,2009,CBDA Open - Brazilian Championships,"São Paulo, Brazil",Freestyle,22
1,26.99,Female,Kornelia Ender, East Germany,1975,World Championships,"Cali, Colombia",Freestyle,17
2,26.95,Female,Johanna Malloy, Canada,1977,Canada Summer Games,"St. John's, NL, Canada",Freestyle,
3,26.74,Female,Anne Jardin, Canada,1978,Canada Summer Nationals,"Etobicoke, Canada",Freestyle,19
4,26.61,Female,Cynthia Woodhead, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,16
5,26.53,Female,Kelly Asplund, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,
6,26.32,Female,Jill Sterkel, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,19
7,25.96,Female,Jill Sterkel, United States,1980,USA Spring Nationals,"Austin, TX, United States",Freestyle,19
8,25.79,Female,Jill Sterkel, United States,1981,Longhorn Invitational,"Austin, TX, United States",Freestyle,20
9,25.69,Female,Dara Torres, United States,1983,Speedo International,"Amersfoort, Netherlands",Freestyle,16
10,25.64,Female,Annemarie Verstappen, Netherlands,1983,NED Nationals,"Amersfoort, Netherlands",Freestyle,18
11,25.62,Female,Dara Torres, United States,1983,USA Nationals,"Clovis, CA, United States",Freestyle,16
12,25.61,Female,Dara Torres, United States,1984,Pre-Olympic meet,"Mission Viejo, CA, United States",Freestyle,17
13,25.5,Female,Tamara Costache, Romania,1986,ROU Nationals & World Championship Trials,"Bucharest, Romania",Freestyle,16
14,25.34,Female,Tamara Costache, Romania,1986,ROU Nationals & World Championship Trials,"Bucharest, Romania",Freestyle,16
15,25.31,Female,Tamara Costache, Romania,1986,Balkan Games,"Sofia, Bulgaria",Freestyle,16
16,25.28,Female,Tamara Costache, Romania,1986,World Championships,"Madrid, Spain",Freestyle,16
17,24.98,Female,Yang Wenyi, China,1988,Asian Swimming Championships,"Guangzhou, China",Freestyle,16
18,24.79,Female,Yang Wenyi, China,1992,Olympic Games,"Barcelona, Spain",Freestyle,20
19,24.51,Female,Le Jingyi, China,1994,World Championships,"Rome, Italy",Freestyle,19
19,24.51,Female,Inge de Bruijn, Netherlands,2000,Super Speedo Grand Prix,"Sheffield, United Kingdom",Freestyle,27
20,24.48,Female,Inge de Bruijn, Netherlands,2000,NED Olympic Trials,"Drachten, Netherlands",Freestyle,27
21,24.39,Female,Inge de Bruijn, Netherlands,2000,Trofeu Jose Finkel & BRA Olympic Trials,"Rio de Janeiro, Brazil",Freestyle,29
22,24.13,Female,Inge de Bruijn, Netherlands,2000,Olympic Games,"Sydney, Australia",Freestyle,26
23,24.09,Female,Marleen Veldhuis, Netherlands,2008,European Championships,"Eindhoven, Netherlands",Freestyle,24
24,23.97,Female,Libby Trickett, Australia,2008,Australian Championships & Olympic Trials,"Sydney, Australia",Freestyle,23
25,23.96,Female,Marleen Veldhuis, Netherlands,2009,Amsterdam Swim Cup,"Amsterdam, Netherlands",Freestyle,30
26,23.73,Female,Britta Steffen, Germany,2009,World Championships,"Rome, Italy",Freestyle,26
27,23.67,Female,Sarah Sjöström, Sweden,2017,World Championships,"Budapest, Hungary",Freestyle,24
WBT,23.68,Male,Denis Pankratov, Russia,1996,Meet of Champions,"Mulhouse, France",Butterfly,24
1,23.6,Male,Geoff Huegill, Australia,2000,Australia Championships,"Sydney, Australia",Butterfly,21
2,23.44,Male,Geoff Huegill, Australia,2001,World Championships,"Fukuoka, Japan",Butterfly,22
3,23.43,Male,Matt Welsh, Australia,2003,World Championships,"Barcelona, Spain",Butterfly,27
4,23.3,Male,Ian Crocker, United States,2004,Big 12 Time Trials,"Austin, United States",Butterfly,22
5,23.01,Male,Roland Schoeman, South Africa,2005,World Championships,"Montreal, Canada",Butterfly,25
6,22.96,Male,Roland Schoeman, South Africa,2005,World Championships,"Montreal, Canada",Butterfly,25
7,22.43,Male,Rafael Muñoz, Spain,2009,Spain Nationals,"Málaga, Spain",Butterfly,21
8,22.27,Male,Andriy Govorov, Ukraine,2018,Sette Colli Trophy,"Rome, Italy",Butterfly,26
1,26.54,Female,Inge de Bruijn, Netherlands,1999,Netherlands Championships,"Amersfoort, Netherlands",Butterfly,26
2,26.39,Female,Anna-Karin Kammerling, Sweden,1999,Sweden Championships,"Halmstad, Sweden",Butterfly,19
3,26.29,Female,Anna-Karin Kammerling, Sweden,1999,European Championships,"Istanbul, Turkey",Butterfly,19
4,25.83,Female,Inge de Bruijn, Netherlands,2000,Mare Nostrum,"Monte Carlo, Monaco",Butterfly,27
5,25.64,Female,Inge de Bruijn, Netherlands,2000,Super Speedo Grand Prix,"Sheffield, United Kingdom",Butterfly,22
6,25.57,Female,Anna-Karin Kammerling, Sweden,2002,European Championships,"Berlin, Germany",Butterfly,22
7,25.46,Female,Therese Alshammar, Sweden,2007,Mare Nostrum,"Barcelona, Spain",Butterfly,30
8,25.33,Female,Marleen Veldhuis, Netherlands,2009,Swim Cup Amsterdam,"Amsterdam, Netherlands",Butterfly,30
9,25.07,Female,Therese Alshammar, Sweden,2009,World Championships,"Rome, Italy",Butterfly,32
10,24.43,Female,Sarah Sjöström, Sweden,2014,Swedish Championships,"Borås, Sweden",Butterfly,21
