#,Time,Gender,Name,Nationality,Date,Meet,Location
WBT,27.61,Male,Alexander Dzhaburiya, Ukraine,27-Apr-96,Ukraine Olympic Trials,"Kharkov, Ukraine"
1,27.49,Male,Anthony Robinson, United States,29-Mar-01,USA Nationals & World Championship Trials,"Austin, United States"
2,27.39,Male,Ed Moses, United States,31-Mar-01,USA Nationals & World Championship Trials,"Austin, United States"
3,27.18,Male,Oleg Lisogor, Ukraine,2-Aug-02,European Championships,"Berlin, Germany"
4,27.06,Male,Cameron van der Burgh, South Africa,18-Apr-09,South African Championships,"Durban, South Africa"
5,26.89,Male,Felipe França, Brazil,8-May-09,Brazil Championships (Maria Lenk),"Rio de Janeiro, Brazil"
6,26.74,Male,Cameron van der Burgh, South Africa,28-Jul-09,World Aquatics Championships,"Rome, Italy"
7,26.67,Male,Cameron van der Burgh, South Africa,29-Jul-09,World Aquatics Championships,"Rome, Italy"
8,26.62,Male,Adam Peaty, Great Britain,18-Aug-14,European Championships,"Berlin, Germany"
8,26.62,Male,Cameron van der Burgh, South Africa,4-Aug-15,World Championships,"Kazan, Russia"
9,26.42,Male,Adam Peaty, Great Britain,4-Aug-15,World Championships,"Kazan, Russia"
10,26.1,Male,Adam Peaty, Great Britain,25-Jul-17,World Championships,"Budapest, Hungary"
11,25.95,Male,Adam Peaty, Great Britain,25-Jul-17,World Championships,"Budapest, Hungary"
