#,Time,Gender,Name,Nationality,Date,Meet,Location
1,23.86,Male,Jonty Skinner, South Africa,14-Aug-76,AAU Nationals,"Philadelphia, PA, United States"
2,23.74,Male,Joe Bottom, United States,3-Jul-77,Canada Cup,"Etobicoke, Canada"
3,23.72,Male,Ron Manganiello, United States,29-Jul-78,-,"Miami, FL, United States"
4,23.7,Male,Klaus Steinbach, West Germany,23-Jul-79,-,"Freiburg, West Germany"
5,23.66,Male,Chris Cavanaugh, United States,2-Feb-80,International Invitational,"Amersfoort, Netherlands"
6,23.12,Male,Chris Cavanaugh, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
7,22.96,Male,Rowdy Gaines, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
8,22.83,Male,Bruce Stahl, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
8,22.83,Male,Joe Bottom, United States,15-Aug-80,Hawaiian Invitational,"Honolulu, HI, United States"
9,22.71,Male,Joe Bottom, United States,15-Aug-80,Hawaiian Invitational,"Honolulu, HI, United States"
10,22.54,Male,Robin Leamy, United States,15-Aug-81,USA Nationals,"Brown Deer, WI, United States"
11,22.52,Male,Dano Halsall,  Switzerland,21-Jul-85,SUI Nationals,"Bellinzona, Switzerland"
12,22.4,Male,Tom Jager, United States,6-Dec-85,USS Invitational,"Austin, TX, United States"
13,22.33,Male,Matt Biondi, United States,26-Jun-86,USA World Championship Trials,"Orlando, FL, United States"
13,22.33,Male,Matt Biondi, United States,30-Jul-87,USA Nationals & Pan Pacific Trials,"Clovis, CA, United States"
14,22.32,Male,Tom Jager, United States,13-Aug-87,Pan Pacific Championships,"Brisbane, Australia"
15,22.23,Male,Tom Jager, United States,25-Mar-88,USA Spring Nationals,"Orlando, FL, United States"
INV,22.18,Male,Peter Williams, South Africa,10-Apr-88,CSCA Invitational,"Indianapolis, IN, United States"
16,22.14,Male,Matt Biondi, United States,24-Sep-88,Olympic Games,"Seoul, South Korea"
17,22.12,Male,Tom Jager, United States,20-Aug-89,Pan Pacific Championships,"Tokyo, Japan"
18,21.98,Male,Tom Jager, United States,24-Mar-90,US Sprint,"Nashville, TN, United States"
19,21.81,Male,Tom Jager, United States,24-Mar-90,US Sprint,"Nashville, TN, United States"
20,21.64,Male,Alexander Popov, Russia,1-Jun-00,Russian Olympic Trials,"Moscow, Russia"
21,21.56,Male,Eamon Sullivan, Australia,17-Feb-08,New South Wales State Championships,"Sydney, Australia"
22,21.5,Male,Alain Bernard, France,23-Mar-08,European Championships,"Eindhoven, Netherlands"
23,21.41,Male,Eamon Sullivan, Australia,27-Mar-08,Australian Championships & Olympic Trials,"Sydney, Australia"
24,21.28,Male,Eamon Sullivan, Australia,28-Mar-08,Australian Championships & Olympic Trials,"Sydney, Australia"
25,20.94,Male,Frédérick Bousquet, France,26-Apr-09,French Championships,"Montpellier, France"
26,20.91,Male,César Cielo, Brazil,18-Dec-09,CBDA Open - Brazilian Championships,"São Paulo, Brazil"
