#,Time,Gender,Name,Nationality,Date,Meet,Location
1,29,Female,Sandra Völker, Germany,24-May-97,Mare Nostrum,"Monte Carlo, Monaco"
2,28.78,Female,Sandra Völker, Germany,12-Jun-99,Mare Nostrum,"Monte Carlo, Monaco"
3,28.71,Female,Sandra Völker, Germany,1-Aug-99,European Championships,"Istanbul, Turkey"
4,28.69,Female,Nina Zhivanevskaya, Spain,8-Apr-00,Spain Spring Nationals,"Madrid, Spain"
5,28.67,Female,Mai Nakamura, Japan,25-Apr-00,Japan Championships,"Tokyo, Japan"
6,28.25,Female,Sandra Völker, Germany,17-Jun-00,Germany Championships,"Berlin, Germany"
7,28.19,Female,Janine Pietsch, Germany,25-May-05,Germany Championships,"Berlin, Germany"
8,28.16,Female,Leila Vaziri, United States,28-Mar-07,World Championships,"Melbourne, Australia"
8,28.16,Female,Leila Vaziri, United States,29-Mar-07,World Championships,"Melbourne, Australia"
9,28.09,Female,Li Yang, China,19-Oct-07,World Military Games,"Hyderabad, India"
10,28,Female,Hayley McGregory, United States,7-Mar-08,Texas Senior Circuit Championships,"Austin, United States"
11,27.95,Female,Emily Seebohm, Australia,22-Mar-08,Australia Championships,"Sydney, Australia"
12,27.67,Female,Sophie Edington, Australia,23-Mar-08,Australia Championships,"Sydney, Australia"
12,27.67,Female,Zhao Jing, China,9-Apr-09,China Championships,"Shaoxing, China"
13,27.61,Female,Daniela Samulski, Germany,26-Jun-09,Germany Championships,"Berlin, Germany"
14,27.39,Female,Daniela Samulski, Germany,29-Jul-09,World Championships,"Rome, Italy"
15,27.38,Female,Anastasia Zuyeva, Russia,29-Jul-09,World Championships,"Rome, Italy"
16,27.06,Female,Zhao Jing, China,30-Jul-09,World Championships,"Rome, Italy"
17,26.98,Female,Liu Xiang, China,21-Aug-18,Asian Games,"Jakarta, Indonesia"
