#,Time,Gender,Name,Nationality,Date,Meet,Location
1,26.54,Female,Inge de Bruijn, Netherlands,18-Jun-99,Netherlands Championships,"Amersfoort, Netherlands"
2,26.39,Female,Anna-Karin Kammerling, Sweden,1-Jul-99,Sweden Championships,"Halmstad, Sweden"
3,26.29,Female,Anna-Karin Kammerling, Sweden,27-Jul-99,European Championships,"Istanbul, Turkey"
4,25.83,Female,Inge de Bruijn, Netherlands,20-May-00,Mare Nostrum,"Monte Carlo, Monaco"
5,25.64,Female,Inge de Bruijn, Netherlands,26-May-00,Super Speedo Grand Prix,"Sheffield, United Kingdom"
6,25.57,Female,Anna-Karin Kammerling, Sweden,30-Jul-02,European Championships,"Berlin, Germany"
7,25.46,Female,Therese Alshammar, Sweden,13-Jun-07,Mare Nostrum,"Barcelona, Spain"
8,25.33,Female,Marleen Veldhuis, Netherlands,19-Apr-09,Swim Cup Amsterdam,"Amsterdam, Netherlands"
9,25.07,Female,Therese Alshammar, Sweden,31-Jul-09,World Championships,"Rome, Italy"
10,24.43,Female,Sarah Sjöström, Sweden,5-Jul-14,Swedish Championships,"Borås, Sweden"
