#,Time,Gender,Name,Nationality,Date,Meet,Location
1,26.99,Female,Kornelia Ender, East Germany,26-Jul-75,World Championships,"Cali, Colombia"
2,26.95,Female,Johanna Malloy, Canada,16-Aug-77,Canada Summer Games,"St. John's, NL, Canada"
3,26.74,Female,Anne Jardin, Canada,19-Aug-78,Canada Summer Nationals,"Etobicoke, Canada"
4,26.61,Female,Cynthia Woodhead, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
5,26.53,Female,Kelly Asplund, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
6,26.32,Female,Jill Sterkel, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
7,25.96,Female,Jill Sterkel, United States,10-Apr-80,USA Spring Nationals,"Austin, TX, United States"
8,25.79,Female,Jill Sterkel, United States,3-Apr-81,Longhorn Invitational,"Austin, TX, United States"
9,25.69,Female,Dara Torres, United States,29-Jan-83,Speedo International,"Amersfoort, Netherlands"
10,25.64,Female,Annemarie Verstappen, Netherlands,9-Jul-83,NED Nationals,"Amersfoort, Netherlands"
11,25.62,Female,Dara Torres, United States,5-Aug-83,USA Nationals,"Clovis, CA, United States"
12,25.61,Female,Dara Torres, United States,21-Jul-84,Pre-Olympic meet,"Mission Viejo, CA, United States"
13,25.5,Female,Tamara Costache, Romania,16-Jul-86,ROU Nationals & World Championship Trials,"Bucharest, Romania"
14,25.34,Female,Tamara Costache, Romania,16-Jul-86,ROU Nationals & World Championship Trials,"Bucharest, Romania"
15,25.31,Female,Tamara Costache, Romania,1-Aug-86,Balkan Games,"Sofia, Bulgaria"
16,25.28,Female,Tamara Costache, Romania,23-Aug-86,World Championships,"Madrid, Spain"
17,24.98,Female,Yang Wenyi, China,11-Apr-88,Asian Swimming Championships,"Guangzhou, China"
18,24.79,Female,Yang Wenyi, China,31-Jul-92,Olympic Games,"Barcelona, Spain"
19,24.51,Female,Le Jingyi, China,11-Sep-94,World Championships,"Rome, Italy"
19,24.51,Female,Inge de Bruijn, Netherlands,26-May-00,Super Speedo Grand Prix,"Sheffield, United Kingdom"
20,24.48,Female,Inge de Bruijn, Netherlands,4-Jun-00,NED Olympic Trials,"Drachten, Netherlands"
21,24.39,Female,Inge de Bruijn, Netherlands,10-Jun-00,Trofeu Jose Finkel & BRA Olympic Trials,"Rio de Janeiro, Brazil"
22,24.13,Female,Inge de Bruijn, Netherlands,22-Sep-00,Olympic Games,"Sydney, Australia"
23,24.09,Female,Marleen Veldhuis, Netherlands,24-Mar-08,European Championships,"Eindhoven, Netherlands"
24,23.97,Female,Libby Trickett, Australia,29-Mar-08,Australian Championships & Olympic Trials,"Sydney, Australia"
25,23.96,Female,Marleen Veldhuis, Netherlands,19-Apr-09,Amsterdam Swim Cup,"Amsterdam, Netherlands"
26,23.73,Female,Britta Steffen, Germany,2-Aug-09,World Championships,"Rome, Italy"
27,23.67,Female,Sarah Sjöström, Sweden,29-Jul-17,World Championships,"Budapest, Hungary"
